Distance_m,Profile_mm
1.005,-9.11578639103622
1.006,-9.1170616025402
1.007,-9.17768330481455
1.008,-9.34323612823457
1.009,-9.65884950972239
1.01,-10.1159302613077
1.011,-10.4236269064472
1.012,-10.536680255334
1.013,-10.5996375558642
1.014,-10.6398371585906
1.015,-10.831549439996
1.016,-11.0659815226908
1.017,-11.1776157571189
1.018,-11.3038510101684
1.019,-11.3903853314473
1.02,-11.4123373932678
1.021,-11.3646678753443
1.022,-11.1131107585962
1.023,-10.7228898758346
1.024,-10.264967839549
1.025,-9.89643274953271
1.026,-9.81178174584172
1.027,-9.88722240988406
1.028,-10.0506469716631
1.029,-10.1883695602481
1.03,-10.1785643280918
1.031,-10.1985080954497
1.032,-10.1400680223899
1.033,-10.0552506995363
1.034,-10.0571714581839
1.035,-9.90080302818343
1.036,-9.81941162640837
1.037,-9.84380252468646
1.038,-9.88279667169748
1.039,-9.95368274394648
1.04,-9.98941033637087
1.041,-10.2665921936398
1.042,-10.3859805077828
1.043,-10.1146685774504
1.044,-9.90694046015292
1.045,-9.91418981724109
1.046,-10.0808765056517
1.047,-10.0715246571573
1.048,-9.97353554246483
1.049,-10.0924383177734
1.05,-10.2876279775267
1.051,-10.265547403809
1.052,-9.91027232009834
1.053,-9.62712721368555
1.054,-9.62380582324382
1.055,-9.74661977352142
1.056,-9.86325063481613
1.057,-9.7524774748492
1.058,-9.69052143582155
1.059,-9.89426049060187
1.06,-10.0481006648227
1.061,-9.93037876193588
1.062,-9.41575006732499
1.063,-9.02635091762324
1.064,-9.11569534636663
1.065,-9.34308588503324
1.066,-9.64315452167521
1.067,-9.86285953130804
1.068,-10.0273351903953
1.069,-10.0266561968462
1.07,-9.62839130564127
1.071,-9.19765487339629
